split,path,label
train,data/processed/train/paper/45OQyZuXtfNCc8Rk.png,paper
train,data/processed/train/paper/45ho1tx7W1LZB0DU.png,paper
train,data/processed/train/paper/6ycslJxTsTjZc5H2.png,paper
train,data/processed/train/paper/bWjObTeNghy8Z1zE.png,paper
train,data/processed/train/paper/oJi50DvlvFg4wTio.png,paper
train,data/processed/train/paper/vUtM1pR6f5ZdEn5a.png,paper
train,data/processed/train/paper/5U8st2LCr9zLl5og.png,paper
train,data/processed/train/paper/1Dfw5FRlS4h60JPX.png,paper
train,data/processed/train/paper/Su03KsBNHrCVUXli.png,paper
train,data/processed/train/paper/u5672IrPHHkppdEK.png,paper
train,data/processed/train/paper/cfCjmEcXysh0H52D.png,paper
train,data/processed/train/paper/kVKp9kJji4urjoMs.png,paper
train,data/processed/train/paper/XNUalPNmCkHhYk1i.png,paper
train,data/processed/train/paper/NLwrHPTaiNSMjHLX.png,paper
train,data/processed/train/paper/ocaU2HmemX7rmjm0.png,paper
train,data/processed/train/paper/RmJmYq6VCNrrvi2l.png,paper
train,data/processed/train/paper/cf9L4KKsfsFpRrYA.png,paper
train,data/processed/train/paper/qhhaVBNDIWDdNR2Y.png,paper
train,data/processed/train/paper/Qx31hf6YWyFs6Mu7.png,paper
train,data/processed/train/paper/7PSJU8kbZf8S6FRW.png,paper
train,data/processed/train/paper/dUDR2ViadkqS6EHf.png,paper
train,data/processed/train/paper/QCqvYDzuP0z3omox.png,paper
train,data/processed/train/paper/LEA78quc0fi2hq9W.png,paper
train,data/processed/train/paper/IxQ1CVKgnpiD0HfY.png,paper
train,data/processed/train/paper/pUCjvjdpH5HSaWxl.png,paper
train,data/processed/train/paper/7I1fABs6SL1T4MNb.png,paper
train,data/processed/train/paper/2IOsxsG8AaxntdJM.png,paper
train,data/processed/train/paper/1oKnUgV2CdCaQUUX.png,paper
train,data/processed/train/paper/MLURv7NBoSPK4f1h.png,paper
train,data/processed/train/paper/Gv71lr2m5b9rBwPy.png,paper
train,data/processed/train/paper/SrSUeH255dybz2zi.png,paper
train,data/processed/train/paper/W4QtOYoG8ThbcmsY.png,paper
train,data/processed/train/paper/HarpXSxVfoAJ9cFe.png,paper
train,data/processed/train/paper/JKN8VKp7pfMEQdBZ.png,paper
train,data/processed/train/paper/LqxEdPczGbYd9Zlu.png,paper
train,data/processed/train/paper/t3gTGwl94iLuZL1k.png,paper
train,data/processed/train/paper/AqNY2b7NX9Ce3CjZ.png,paper
train,data/processed/train/paper/pVCqrp8S6Ze3DAI8.png,paper
train,data/processed/train/paper/jqQlxUsZOssnmdWL.png,paper
train,data/processed/train/paper/3K6a8bG8j1YTH1l0.png,paper
train,data/processed/train/paper/q35FqG8h9VCDbQ1J.png,paper
train,data/processed/train/paper/WUJ02oAbtzoPF4oo.png,paper
train,data/processed/train/paper/KHfp6LJDEhqbcomR.png,paper
train,data/processed/train/paper/0zKU6wEhT2cDe9j0.png,paper
train,data/processed/train/paper/EVtIRpfQ2ys2A3ag.png,paper
train,data/processed/train/paper/2F8Ng7620ANA7tEK.png,paper
train,data/processed/train/paper/dZh2VMRu9nRGHhYL.png,paper
train,data/processed/train/paper/QVIiXr87PkeldzZM.png,paper
train,data/processed/train/paper/ZGQV7rFVePreAdOe.png,paper
train,data/processed/train/paper/keyl4nDZLxLORnr3.png,paper
train,data/processed/train/paper/Uok6jb9ObZxSWCDu.png,paper
train,data/processed/train/paper/D9nbrQLDSgDMNh3G.png,paper
train,data/processed/train/paper/nb6CUTNhXBAmjFp9.png,paper
train,data/processed/train/paper/89dWYgfIZm624Pf6.png,paper
train,data/processed/train/paper/zBMp6VflTDyfCqa6.png,paper
train,data/processed/train/paper/gFqfkMtX39sTkrSB.png,paper
train,data/processed/train/paper/MJAUydLSEPqZHwPz.png,paper
train,data/processed/train/paper/cMbbpVIgFU95R4tO.png,paper
train,data/processed/train/paper/URj0hmH1Y9lNObL9.png,paper
train,data/processed/train/paper/HXxUlm3O2djcDgUR.png,paper
train,data/processed/train/paper/BbOoLEGslGMBu7sj.png,paper
