epoch,train_loss,train_acc,val_loss,val_acc
1,0.7895866857098256,0.7001959503592423,1.1453316269851312,0.3353658536585366
2,0.25314842033121493,0.9568909209666885,0.33435831927671666,0.8871951219512195
3,0.11568435951872716,0.9712606139777923,0.2577350999160511,0.9207317073170732
4,0.07696565894189807,0.9758327890267798,0.2680686036261117,0.9024390243902439
5,0.07650490145057265,0.9784454604833442,0.11518840312321739,0.9695121951219512
6,0.06630003888337617,0.9804049640757675,0.30624028669511216,0.8932926829268293
7,0.07331817541855426,0.9810581319399085,0.04523168162374598,0.9847560975609756
8,0.05139385150401208,0.9869366427171783,0.05418553326006343,0.9786585365853658
9,0.05625979898705504,0.9830176355323318,0.035524679983897904,0.9908536585365854
10,0.037176839773105805,0.9882429784454605,0.09181698923930526,0.9786585365853658
