epoch,train_loss,train_acc,val_loss,val_acc
1,1.0736430962049908,0.41410842586544744,0.951088828284566,0.5396341463414634
2,0.8537996835291269,0.5682560418027433,0.7850596410472218,0.6341463414634146
3,0.7752667855858257,0.6303069888961463,0.6994327088681663,0.6829268292682927
4,0.7295963765747947,0.6662312214239059,0.6848109146443809,0.7225609756097561
5,0.6451154198232311,0.6943174395819726,0.5521363528763376,0.7713414634146342
6,0.5755271929919058,0.7576747224036577,0.5233388354138631,0.8292682926829268
7,0.4545151101927754,0.8360548661005879,0.2791580459693583,0.9176829268292683
8,0.33433235713580634,0.8948399738732854,0.23938134585211918,0.9329268292682927
9,0.3169694506678217,0.8954931417374266,0.23244086344067644,0.9420731707317073
10,0.26308366571626657,0.9209666884389288,0.20199314341312502,0.9390243902439024
