epoch,train_loss,train_acc,val_loss,val_acc
1,0.748732644483048,0.7341606792945787,1.2513858603268135,0.3323170731707317
2,0.20197558251180966,0.9595035924232528,0.9401237664789688,0.5823170731707317
3,0.10843503780804141,0.9706074461136512,0.7588519115659703,0.7530487804878049
4,0.09150987173473811,0.9732201175702155,0.3490094220742765,0.8780487804878049
5,0.05408899245417484,0.9869366427171783,0.10023801555720771,0.9664634146341463
6,0.05803494831360998,0.983670803396473,1.5475937993061253,0.6829268292682927
7,0.05861974134919575,0.9810581319399085,0.2719049299726399,0.9054878048780488
8,0.05066825987699373,0.9862834748530372,0.10116356311411392,0.9695121951219512
9,0.05049044925811963,0.984323971260614,0.16296252605459857,0.9420731707317073
10,0.05083753563741077,0.9817112998040496,0.0700132851829616,0.9847560975609756
11,0.04589756647797677,0.9856303069888962,0.24820161606298713,0.9329268292682927
12,0.03977926540207349,0.9875898105813194,0.0571276093038117,0.9847560975609756
13,0.049599823085098464,0.984977139124755,0.3541667189182168,0.9024390243902439
14,0.050525868470901604,0.9830176355323318,0.32080920647102884,0.8871951219512195
15,0.03911863092350111,0.9862834748530372,0.03116702940315008,0.9939024390243902
16,0.03053142512880222,0.9908556499020248,0.05120818607690858,0.9878048780487805
17,0.033193118277764416,0.9908556499020248,0.14209540519954228,0.9390243902439024
18,0.028627290165965498,0.992161985630307,0.04935733853589471,0.9786585365853658
19,0.027139863153830764,0.992161985630307,0.02966013287262219,0.9939024390243902
20,0.023547795377939374,0.9934683213585892,0.017110132498712075,0.9908536585365854
