epoch,train_loss,train_acc,val_loss,val_acc
1,1.0933481677539358,0.3736120182887002,1.0819123401874449,0.3567073170731707
2,1.0766783585975095,0.3879817112998041,1.059114486705966,0.4847560975609756
3,1.042342680252743,0.4598301763553233,1.0043399377567013,0.5426829268292683
4,0.996835937693102,0.47028086218158066,0.9444665937888913,0.551829268292683
5,0.9605472097593067,0.4970607446113651,0.9040771693718143,0.5701219512195121
6,0.9295446351413864,0.519268451992162,0.8781437786614023,0.5823170731707317
7,0.8879058294869341,0.5591116917047682,0.8503033678706099,0.573170731707317
8,0.8796457033543552,0.549967341606793,0.8364390701782413,0.6219512195121951
9,0.8832521812344283,0.5610711952971914,0.8275936289531428,0.6341463414634146
10,0.8748183874504618,0.5649902024820379,0.8184485522712149,0.5762195121951219
